"População Total e por Sexo, 1991 e 2000","","","","","","","",""
"Todos os Bairros do Recife","","","","","","","",""
"","","","","","","","",""
"Bairro","Código","População Total, 1991","População Total, 2000","Homens, 1991","Homens, 2000","Mullheres, 1991","Mullheres, 2000","Taxa de crescimento anual da população, 1991-2000"
"Linha do Tiro","29  ","13,086 ","13,947 ","6,257 ","6,611 ","6,829 ","7,336 ","0.72 "
"Macaxeira","44  ","11,305 ","19,282 ","5,429 ","9,284 ","5,876 ","9,998 ","6.17 "
"Madalena","62  ","19,071 ","19,786 ","8,472 ","8,836 ","10,599 ","10,950 ","0.41 "
"Mangabeira","53  ","7,027 ","7,321 ","3,256 ","3,310 ","3,771 ","4,011 ","0.46 "
"Mangueira","68  ","9,159 ","8,734 ","4,315 ","4,084 ","4,844 ","4,650 ","-0.53 "
"Monteiro","58  ","4,507 ","4,739 ","2,109 ","2,237 ","2,398 ","2,502 ","0.56 "
"Morro da Conceição","51  ","10,463 ","10,142 ","4,929 ","4,775 ","5,534 ","5,367 ","-0.35 "
"Mustardinha","67  ","12,602 ","11,693 ","5,855 ","5,323 ","6,747 ","6,370 ","-0.84 "
"Nova Descoberta","45  ","36,697 ","34,676 ","17,869 ","16,690 ","18,828 ","17,986 ","-0.63 "
"Paissandu","6  ","744 ","531 ","331 ","230 ","413 ","301 ","-3.71 "
"Parnamirim","54  ","4,551 ","5,363 ","1,968 ","2,373 ","2,583 ","2,990 ","1.86 "
"Passarinho","27  ","8,771 ","15,426 ","4,424 ","7,619 ","4,347 ","7,807 ","6.54 "
"Pau-Ferro","37  ","215 ","336 ","118 ","172 ","97 ","164 ","5.13 "
"Peixinhos","19  ","3,891 ","4,213 ","1,860 ","2,010 ","2,031 ","2,203 ","0.90 "
"Pina","93  ","26,781 ","27,422 ","12,444 ","12,710 ","14,337 ","14,712 ","0.27 "
"Poço","57  ","3,846 ","4,006 ","1,755 ","1,853 ","2,091 ","2,153 ","0.46 "
"Ponto de Parada","22  ","1,711 ","1,673 ","784 ","766 ","927 ","907 ","-0.25 "
"Porto da Madeira","32  ","7,432 ","7,643 ","3,440 ","3,549 ","3,992 ","4,094 ","0.31 "
"Prado","63  ","11,413 ","10,953 ","5,182 ","4,956 ","6,231 ","5,997 ","-0.46 "
"Recife","1  ","565 ","925 ","273 ","462 ","292 ","463 ","5.68 "
"Rosarinho","17  ","2,484 ","2,606 ","1,093 ","1,177 ","1,391 ","1,429 ","0.54 "
"San Martin","66  ","21,682 ","22,959 ","10,164 ","10,662 ","11,518 ","12,297 ","0.64 "
"Sancho","83  ","7,507 ","9,163 ","3,636 ","4,956 ","3,871 ","4,207 ","2.26 "
"Santana","56  ","2,076 ","2,437 ","904 ","1,108 ","1,172 ","1,329 ","1.81 "
"Santo Amaro","2  ","30,095 ","29,140 ","13,504 ","13,291 ","16,591 ","15,849 ","-0.36 "
"Santo Antônio","5  ","424 ","539 ","207 ","279 ","217 ","260 ","2.73 "
"Sao José","11  ","10,330 ","8,653 ","4,932 ","4,164 ","5,398 ","4,489 ","-1.97 "
"Sítio dos Pintos","39  ","4,004 ","5,660 ","1,968 ","2,753 ","2,036 ","2,907 ","3.96 "
"Soledade","4  ","2,882 ","2,201 ","1,143 ","890 ","1,739 ","1,311 ","-2.98 "
"Tamarineira","18  ","9,777 ","11,662 ","4,107 ","5,001 ","5,670 ","6,661 ","2.00 "
"Tejipió","84  ","7,803 ","8,486 ","3,613 ","3,894 ","4,190 ","4,592 ","0.95 "
"Torre","59  ","16,000 ","16,931 ","7,105 ","7,580 ","8,895 ","9,351 ","0.64 "
"Torreão","26  ","958 ","900 ","436 ","390 ","522 ","510 ","-0.70 "
"Torrões","72  ","26,661 ","29,510 ","12,911 ","14,232 ","13,750 ","15,278 ","1.15 "
"Totó","81  ","2,420 ","2,265 ","1,133 ","1,034 ","1,287 ","1,231 ","-0.74 "
"Várzea","69  ","53,765 ","64,512 ","25,467 ","30,451 ","28,298 ","34,061 ","2.06 "
"Vasco da Gama","49  ","30,275 ","29,426 ","14,475 ","13,836 ","15,800 ","15,590 ","-0.32 "
"Zumbi","61  ","5,402 ","5,759 ","2,423 ","2,613 ","2,979 ","3,146 ","0.72 "
"Total Recife","","1,310,259 ","1,422,905 ","609,353 ","661,690 ","700,906 ","761,215 ","0.93 "
"","","","","","","","",""
"Fonte: Atlas do Desenvolvimento Humano no Recife","","","","","","","",""
