"Tabela 3261 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar per capita"
"Variável - Domicílios particulares permanentes (Unidades)"
"Bairro e Município";"Ano x Classes de rendimento nominal mensal domiciliar per capita"
"São Luiz (RR)";"1734"
"Uiramutã (RR)";"1444"
"Abaetetuba (PA)";"30917"
"Abel Figueiredo (PA)";"1868"
"Acará (PA)";"11715"
"Afuá (PA)";"6754"
"Água Azul do Norte (PA)";"5812"
"Alenquer (PA)";"12106"
"Almeirim (PA)";"7862"
"Altamira (PA)";"26427"
"Anajás (PA)";"4853"
"Ananindeua (PA)";"125800"
"Anapu (PA)";"5075"
"Augusto Corrêa (PA)";"8857"
"Aurora do Pará (PA)";"5839"
"Aveiro (PA)";"3436"
"Bagre (PA)";"3711"
"Baião (PA)";"8007"
"Bannach (PA)";"984"
"Barcarena (PA)";"24844"
"Belém (PA)";"368877"
"Belterra (PA)";"3987"
"Benevides (PA)";"13665"
"Bom Jesus do Tocantins (PA)";"3848"
"Bonito (PA)";"3322"
"Bragança (PA)";"26222"
"Brasil Novo (PA)";"4362"
"Brejo Grande do Araguaia (PA)";"1913"
"Breu Branco (PA)";"12226"
"Breves (PA)";"17500"
"Bujaru (PA)";"5855"
"Cachoeira do Piriá (PA)";"5639"
"Cachoeira do Arari (PA)";"4537"
"Cametá (PA)";"23623"
"Canaã dos Carajás (PA)";"7452"
"Capanema (PA)";"16862"
"Capitão Poço (PA)";"12955"
"Castanhal (PA)";"45444"
"Chaves (PA)";"4308"
"Colares (PA)";"2787"
"Conceição do Araguaia (PA)";"12853"
"Concórdia do Pará (PA)";"6288"
"Cumaru do Norte (PA)";"2640"
"Curionópolis (PA)";"5228"
"Curralinho (PA)";"5245"
"Curuá (PA)";"2648"
"Curuçá (PA)";"8503"
"Dom Eliseu (PA)";"13001"
"Eldorado do Carajás (PA)";"8055"
"Faro (PA)";"1710"
"Floresta do Araguaia (PA)";"4841"
"Garrafão do Norte (PA)";"5801"
"Goianésia do Pará (PA)";"7840"
"Gurupá (PA)";"5394"
"Igarapé-Açu (PA)";"9118"
"Igarapé-Miri (PA)";"12001"
"Inhangapi (PA)";"2497"
"Ipixuna do Pará (PA)";"11382"
"Irituia (PA)";"7487"
"Itaituba (PA)";"23581"
"Itupiranga (PA)";"12568"
"Jacareacanga (PA)";"2291"
"Jacundá (PA)";"12576"
"Juruti (PA)";"9294"
"Limoeiro do Ajuru (PA)";"4888"
"Mãe do Rio (PA)";"7060"
"Magalhães Barata (PA)";"1986"
"Marabá (PA)";"60457"
"Maracanã (PA)";"6788"
"Marapanim (PA)";"6701"
"Marituba (PA)";"27357"
"Medicilândia (PA)";"7348"
"Melgaço (PA)";"4049"
"Mocajuba (PA)";"5352"
"Moju (PA)";"15538"
